MANUFACTURER,MODEL,CAR NUMBER,CHASIS NUMBER,CITY,RFID
Ambassador,CLASSIC 1500 DSL AC,HR01AD2004,  jtezu11f88k007763,Gurugram,HR5520220000001
Ambassador,Grand 1500 DSZ BSIII,GJ01BD4675,  2fmdk3gc4bbb02217,Ahemadabad,GJ0120220000002
Audi,A3 35 TDI Premium Plus,PB11NB4598,  3c4pdcgg5jt346413,Amritsar,PB0220220000003
Audi,A3 40 TFSI Premium,MH02ED3003,  1ftfw1et4efc23745,Andheri,MH0220220000004
Audi,A4 2.0 TDI,KA01FG5445,  3gcpcrec2jg473991,Bengaluru,KA0120220000005
Audi,A6 2.0 TDI Technology,KA01NH7658,  2c4rdgeg9jr237989,Bengaluru,KA0120220000006
Audi,Q7 3.0 TDI Quattro,KA02HG9076,  1gcsksea1az121133,Bengaluru,KA0120220000007
Audi,Q7 3.0 TDI Quattro Premium Plus,KA01DF0001,  1gks2gkc3hr326762,Bengaluru,KA0120220000008
BMW, 3 Series 320d GT Luxury Line,KA03JK8989,  1g1zd5st5jf191860,Bengaluru,KA0120220000009
BMW,3 Series 320d Luxury Line,KA02FG3535,  2fmpk3j92hbc12542,Bengaluru,KA0120220000010
BMW, 3 Series 320d Prestige,KA01KL0009,  2b3lj54t49h509675,Bengaluru,KA0120220000011
BMW, 5 Series 520d Sport Line,KA01GG5252,  1gks2bkc6hr136280,Bengaluru,KA0120220000012
BMW,6 Series GT 630d Luxury Line,KA02HG9013,  3gcukrec0jg176059,Bengaluru,KA0120220000013
BMW, X1 sDrive20d M Sport,KA01HK0140,  2c4rc1cg5hr616095,Bengaluru,KA0120220000014
BMW,X4 M Sport X xDrive20d,KA01FG8577,  1ftfw1et7dfa47790,Bengaluru,KA0120220000015
BMW, X4 M Sport X xDrive20d,KA01MN1234,  1gks2gkc6hr328389,Bengaluru,KA0120220000016
BMW,X6 xDrive30d,KA01KK8765,  3kpfk4a77je198723,Bengaluru,KA0120220000017
BMW,X5 3.0d,KA01NH7185,  kl4cj1sb6jb688844,Bengaluru,KA0120220000018
BMW,X7 xDrive 30d DPE,KA02FG7676,  2fmpk3j95hbb73607,Bengaluru,KA0120220000019
